Unnamed: 0.1	Unnamed: 0	idx	path	token	sentence	context	label_fold1	confidence_fold1	label_fold2	confidence_fold2	label_fold3	confidence_fold3	label_fold4	confidence_fold4	label_fold5	confidence_fold5	label_fold6	confidence_fold6	label_fold7	confidence_fold7	label_fold8	confidence_fold8	label_fold9	confidence_fold9	label_fold10	confidence_fold10	majority_label_1	majority_count_1	label_distribution_counts_1	majority_label_2	majority_count_2	label_distribution_counts_2	majority_label_3	majority_count_3	label_distribution_counts_3	majority_label_4	majority_count_4	label_distribution_counts_4	majority_label_5	majority_count_5	label_distribution_counts_5	majority_label_6	majority_count_6	label_distribution_counts_6	majority_label_7	majority_count_7	label_distribution_counts_7	majority_label_8	majority_count_8	label_distribution_counts_8	majority_label_9	majority_count_9	label_distribution_counts_9	majority_label_10	majority_count_10	label_distribution_counts_10
0	5835	868992	3.0/1980/03/21/das-neue-buch-des-nobelp.xml	erzähler	„Das Schicksal, das heute dem Jiddischen widerfährt, könnte morgen das Schicksal der Kunst schlechthin sein; deshalb halte ich es für kein Unglück, ein Gespenst zu sein.“ Dem jiddischen Schriftsteller ist es noch vergönnt, ein Erzähler zu sein.	['Doch das Jiddische, das Singer 1965 in einem Interview als eine„tote“, dem langsamen Tode geweihte „Sprache“ bezeichnet hat, ist des Alltags warmer und vertrauter Dialekt, der zwar aus den Ruinen spricht, dabei aber mit ungebrochener Liebe zum Leben an eine Bedeutungsfülle erinnert, die durch keine Gewalt zerstört werden kann.', 'Der jiddische Schriftsteller, hat Singer gesagt, ist ein „Dibbuk“, ein Gespenst, dessen Versteck zwischen den Trümmern zu suchen ist, einer, der sieht, ohne gesehen zu werden.', '„Das Schicksal, das heute dem Jiddischen widerfährt, könnte morgen das Schicksal der Kunst schlechthin sein; deshalb halte ich es für kein Unglück, ein Gespenst zu sein.“ Dem jiddischen Schriftsteller ist es noch vergönnt, ein Erzähler zu sein.', 'Er vermag jenem Schicksal der zeitgenössischen Literatur zu entgehen, das Rilke im „Malte“ nur zu deutlich umrissen hatte: „Daß man erzählt, wirklich erzählt, das muß vor meiner Zeit gewesen sein.', 'Ich habe niemanden erzählen hören.“ Mit dem Erzähler verschwindet die chorartige Stimme eines Vermächtnisses kollektiver Erfahrungen; der Abschied des Erzählers steht für das Ende der Epik, für die Unmöglichkeit, Weisheit zu vermitteln und beispielhafte Geschichten zu überliefern, welche den Alltag vor der Banalität und die Vergangenheit vor der Vergessenheit bewahren.']	a	0.99967575	a	0.99961746	a	0.9996939	d	0.55388886	a	0.9995529	a	0.9993955	a	0.99966025	a	0.99944085	a	0.99970275	a	0.99963045	a	886	{'a': 886, 'd': 114}	a	898	{'a': 898, 'd': 102}	a	971	{'a': 971, 'd': 29}	a	962	{'a': 962, 'd': 38}	a	991	{'a': 991, 'd': 9}	a	991	{'a': 991, 'd': 9}	a	998	{'a': 998, 'd': 2}	a	998	{'a': 998, 'd': 2}	a	1000	{'a': 1000}	a	1000	{'a': 1000}
1	1862	348287	3.0/1996/01/05/Die_Maus_am_Spiess.xml.xml	erzähler	"Aber die frostige Atmosphäre, in der Frauen und Männer hier einander beargwöhnen und bekämpfen, läßt einige der Geschichten in ""Der Grund der Dinge"" kriegerisch aussehen: Der Autor ist mehr Frontberichterstatter als Erzähler."	"['Und noch etwas sehr Eigenartiges hat er gemacht: Er ist, wenn die Ferien kamen, statt ans Meer als Reporter in den Krieg gezogen, nach Vietnam, Nordirland, Mosambik, Lateinamerika.', 'Der Krieg findet sich nirgendwo in seinen Erzählungen als Sujet.', 'Aber die frostige Atmosphäre, in der Frauen und Männer hier einander beargwöhnen und bekämpfen, läßt einige der Geschichten in ""Der Grund der Dinge"" kriegerisch aussehen: Der Autor ist mehr Frontberichterstatter als Erzähler.', 'Monzó präsentiert seine Erzählungen gern als surreale Travestien des modernen Alltagslebens in der Großstadt, ohne eine Spur von Beziehungspsychologie.', 'Dazu sind sie zu kurz, ist ihr Ton viel zu unterkühlt.']"	a	0.9996587	a	0.9996717	a	0.9997042	d	0.48476195	a	0.99861765	a	0.9994134	a	0.999741	a	0.99734277	a	0.99953294	b	0.9944529	a	828	{'a': 828, 'd': 96, 'b': 76}	a	792	{'a': 792, 'd': 108, 'b': 100}	a	908	{'a': 908, 'b': 48, 'd': 44}	a	938	{'a': 938, 'd': 37, 'b': 25}	a	963	{'a': 963, 'd': 20, 'b': 17}	a	975	{'a': 975, 'b': 11, 'd': 14}	a	987	{'a': 987, 'd': 8, 'b': 5}	a	994	{'a': 994, 'b': 3, 'd': 3}	a	992	{'a': 992, 'b': 6, 'd': 2}	a	998	{'a': 998, 'd': 1, 'b': 1}
2	5416	850053	3.0/1953/04/02/kurz-und-gut.xml.xml	erzählern	Von diesen Volkserzählern zur modernen irischen Novelle ist ein fließender Übergang: Unter den zwanzig Erzählern, von denen hier Proben ihre Kunst gesammelt sind, befinden sich so große Namen wie William Butler Yeats und James Joyce, Liam O’Flaherty und Sean O’Faolain, aber auch bei uns ganz unbekannte, die uns zum ersten Male vorgestellt werden.	['Zu ihnen gehören außer den Griechen auch die Iren.', 'Noch heute sammeln sich in den irischen Dörfern abends die Leute, um einem der vielen wandernden „Story-teller“ zuzuhören.', 'Von diesen Volkserzählern zur modernen irischen Novelle ist ein fließender Übergang: Unter den zwanzig Erzählern, von denen hier Proben ihre Kunst gesammelt sind, befinden sich so große Namen wie William Butler Yeats und James Joyce, Liam O’Flaherty und Sean O’Faolain, aber auch bei uns ganz unbekannte, die uns zum ersten Male vorgestellt werden.', 'Gemeinsam ist ihnen allen der Sinn für den Schabernack, den Schicksal und Zufallmit dem Menschen treiben und für die heitere Verbissenheit, in der er sich gegen das Unabwendbare behauptet i. h.']	b	0.9995357	b	0.99968493	b	0.99962044	b	0.61569446	b	0.99948406	b	0.99667645	b	0.99904555	b	0.99683833	b	0.9996786	b	0.9993327	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}
3	705	189143	3.0/1994/10/07/erfundene-wirklichkeit.x.xml	erzähler	Der als Erzähler nicht ganz unbekannte Uwe Johnson schließt für „Jahrestage“ einen Vertrag mit einer seiner Hauptfiguren, der aus früheren Werken vertrauten Gesine: In ihrem Auftrag schreibt Johnson, nach ihren Vorgaben zeichnet er auf: „das Bewußtsein des Tages“.	['August 1968 geführte Epos „Jahrestage“ – Johnson vermeidet bewußt den Gattungsbegriff „Roman“ –, wird keineswegs von ihm, sondern von Gesine Cresspahl erzählt.', 'Wenn man sich auf diese Fiktion, das ernste Spiel eines Tauschs zwischen erlebendem und erzählendem „Ich“ nicht einläßt, kann man das Buch gar nicht verstehen, ja nicht einmal „richtig“ lesen.', 'Der als Erzähler nicht ganz unbekannte Uwe Johnson schließt für „Jahrestage“ einen Vertrag mit einer seiner Hauptfiguren, der aus früheren Werken vertrauten Gesine: In ihrem Auftrag schreibt Johnson, nach ihren Vorgaben zeichnet er auf: „das Bewußtsein des Tages“.', 'Damit hat Johnson den allwissenden Erzähler, den raunenden Märchen-Onkel der alten Roman-Tradition, aufs Altenteil geschickt; woher soll nun aber die in New York arbeitende und dort „Dschi-sain“ genannte Bankangestellte Gesine aus Mecklenburg all das wissen, was in dem Buch erzählt wird?', 'Johnsons Erzählung hat ja nicht/nur das eine Erlebnis-Zentrum New York des Jahres 1967/68, sondern auch das Erinnerungs-Zentrum Mecklenburg, also deutsche Provinz der Jahre 1918 bis 1953: Kaiserreich, Weimarer Republik, Nazi-Diktatur, Sowjetisch Besetzte Zone, DDR.']	b	0.99954236	b	0.9997048	b	0.99967813	b	0.68375087	b	0.99957377	b	0.998648	b	0.9993605	b	0.99295557	b	0.99965036	b	0.99924326	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}
4	3116	409524	3.0/1997/12/05/D-Day_1347_Die_Invasion_.xml	erzähler	Deren Inhalte und die unbeschwerte Heiterkeit der Erzähler stehen in groteskem Gegensatz zu Boccaccios einleitender Schilderung über das gleichzeitige Wüten der Pest in der Stadt.	"['In seinem um 1350 entstandenen ""Decamerone"" beschreibt Boccaccio das idyllische Leben von sieben ""holden"" Damen und drei Herren der städtischen Jeunesse dorée, die in der Sicherheit eines einsamen Landsitzes das Ende der Pest in Florenz abwarten.', 'Um sich die Zeit zu vertreiben, erzählen sie sich Geschichten.', 'Deren Inhalte und die unbeschwerte Heiterkeit der Erzähler stehen in groteskem Gegensatz zu Boccaccios einleitender Schilderung über das gleichzeitige Wüten der Pest in der Stadt.', 'Er beschreibt das Elend der Sterbenden, die von allen verlassen sind, das Einsammeln der Leichen, die möglichst schnell und ohne Riten in hastig ausgeworfene Massengräber geworfen werden, das Verhalten der noch Gesunden zwischen den Extremen von Askese und Lebensgier und das Ende aller Ordnung: ""Im Angesicht solcher Not und solchen Elends brach aller Respekt vor den Gesetzen Gottes und der Menschen in unserer Stadt zusammen.', '(...) Jeder tat, was er wollte.""']"	d	0.9997149	d	0.9997298	d	0.99964464	d	0.44213295	d	0.99950933	d	0.9990694	b	0.98147213	d	0.9993498	b	0.99385947	d	0.9996264	d	811	{'b': 189, 'd': 811}	d	834	{'d': 834, 'b': 166}	d	908	{'d': 908, 'b': 92}	d	877	{'d': 877, 'b': 123}	d	937	{'d': 937, 'b': 63}	d	948	{'d': 948, 'b': 52}	d	961	{'d': 961, 'b': 39}	d	974	{'d': 974, 'b': 26}	d	974	{'d': 974, 'b': 26}	d	981	{'b': 19, 'd': 981}
5	1723	341566	3.0/1974/05/03/bodenproben-aus-der-ddr..xml	erzähler	Die neue Anthologie „Erzähler aus der DDR“ behauptet sich in der Reihe bereits vorliegender vergleichbarer Sammlungen (zum Beispiel von Marcel Reich-Ranicki oder von Hans-Jürgen Schmitt) durch ihr Ziel: Franke/Langenbucher wollen weniger die erreichten Ergebnisse als vielmehr Tendenzen zeigen, wollen weniger Inventur machen, als vielmehr Versuche hervorheben.	['Von den erzählerischen Taten dieses Nachwuchses vermitteln Konrad Franke und Wolfgang R. Langenbucher weitere Kunde.', 'Franke hat 1971 auf über 600 Seiten „Die Literatur der DDR“ vorgestellt und diskutiert, ein Buch, das neben den Arbeiten von Werner Brettschneider, Hans Jürgen Geerdts, Fritz J. Raddatz, Hans-Dietrich Sander informiert.', 'Die neue Anthologie „Erzähler aus der DDR“ behauptet sich in der Reihe bereits vorliegender vergleichbarer Sammlungen (zum Beispiel von Marcel Reich-Ranicki oder von Hans-Jürgen Schmitt) durch ihr Ziel: Franke/Langenbucher wollen weniger die erreichten Ergebnisse als vielmehr Tendenzen zeigen, wollen weniger Inventur machen, als vielmehr Versuche hervorheben.', 'Der geförderte Erzählertyp der DDR ist volkstümlich, parteilich, optimistisch; Literatur ist ein gesellschaftlicher Wirkungsfaktor, der sich auf die Praxis zu beziehen hat.', 'Rund die Hälfte der fünfunddreißig Autoren des Bandes ist jünger als vierzig; unter ihnen trabt noch manches Schwarze Pferd.']	b	0.9996191	b	0.99971956	b	0.9997002	b	0.8212187	b	0.9995888	b	0.99832267	b	0.9994735	b	0.9956781	b	0.9996908	b	0.9993273	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}
6	7738	1157451	3.0/2005/10/13/M-Kremer_2fBach.xml.xml	erzählers	Es gibt immer wieder Sätze, in denen die Sehnsucht nach großem Horizont und intensiver Szene, das virtuose Heldentum oder der Tonfall des Erzählers sich ohne weiteres mit Bach treffen.	['Oder er verfehlt vor Anstrengung die lyrische Weite im allerersten Satz des Zyklus.', 'Andererseits kann Kremers Rechte aber Akkorde zu orchestral leuchtenden Schlägen vergrößern, und demg-Moll-Presto       tut es gut, dass des Geigers Bogen viele Skalenanfänge geradezu herausbeißt oder zwischendurch einfach schneller wird.', 'Es gibt immer wieder Sätze, in denen die Sehnsucht nach großem Horizont und intensiver Szene, das virtuose Heldentum oder der Tonfall des Erzählers sich ohne weiteres mit Bach treffen.', 'In der       E-Dur-Partita       sind das fast alle.', 'Das Preludio ist so beschwingt, so reich inszeniert, dass Kremers frühere Aufnahme trotz ähnlicher Konzeption dagegen eindimensional wirkt.']	b	0.9994824	b	0.90550655	b	0.9994672	c	0.74156946	b	0.9994295	b	0.99756867	b	0.9974662	b	0.99481446	b	0.9995846	b	0.9991365	b	898	{'b': 898, 'c': 102}	b	901	{'b': 901, 'c': 99}	b	972	{'b': 972, 'c': 28}	b	968	{'b': 968, 'c': 32}	b	987	{'b': 987, 'c': 13}	b	992	{'b': 992, 'c': 8}	b	996	{'b': 996, 'c': 4}	b	998	{'b': 998, 'c': 2}	b	997	{'b': 997, 'c': 3}	b	1000	{'b': 1000}
7	1521	331104	3.0/1962/09/21/kein-held-und-auch-kein-.xml	erzähler	Ein kluger, nobler Erzähler, der weiß, welche Kraft in der Verhaltenheit liegt.	['Etwa wenn er von einem jungen Mädchen sagt: „Sie suchte zwar gern die Nähe fragwürdiger Abenteuer, hielt sich dann aber gerade so weit zurück, daß sie das angenehme Gefühl verspürte, sie selbst zu sein...“ Oder von einem Parteioberen: „Wenn Heiland keine Brille trug, zeigte sein Gesicht das glatte, leergefegte Trümmerfeld einer kaum überwundenen, nervösen Anstrengung; er setzte sie wieder auf, und zurück blieb nur der kostspielige Sieg einer Idee.“ Oder ganz einfach die Wendung „Ohnmachtsglück“.', 'Dieser Autor schreibt eine Prosa, die nie über ihre Verhältnisse lebt.', 'Ein kluger, nobler Erzähler, der weiß, welche Kraft in der Verhaltenheit liegt.', 'Und nicht zuletzt: ein in hohem Maße zeitgerechter und dabei – auch das sollte man nicht übersehen – lesbarer Roman.']	b	0.99934715	b	0.99970466	b	0.99965715	d	0.5946763	b	0.9991757	b	0.998696	b	0.9991928	b	0.9972045	b	0.9995326	b	0.99933535	b	908	{'b': 908, 'd': 92}	b	898	{'d': 102, 'b': 898}	b	969	{'b': 969, 'd': 31}	b	971	{'b': 971, 'd': 29}	b	992	{'b': 992, 'd': 8}	b	993	{'b': 993, 'd': 7}	b	998	{'b': 998, 'd': 2}	b	993	{'b': 993, 'd': 7}	b	999	{'b': 999, 'd': 1}	b	999	{'b': 999, 'd': 1}
8	5362	847874	3.0/1953/07/30/funk-fuer-anspruchsvolle.xml	erzähler	Heinrich Böll, der viel genannte, beachtenswerte Erzähler, hat einen Stoff aus unseren Tagen – ein abgesunkener Mann beschließt, sich von seiner Familie zu trennen, wird aber durch ein zufälliges Zusammentreffen mit seiner Frau umgestimmt – nicht nur in seinem Roman „Und sagten kein einziges Wort“, sondern auch in dem Hörspiel „Ich begegne meiner Frau“ behandelt, das nun in der Inszenierung Fritz Schröder-Jahns neues Interesse für den Roman erwecken könnte.	['Juli, 20.35, mit dem Städtekampf Berlin – Paris der Amateurboxer im Berliner Sportpalast, und am Sonntag, 2.', 'August, 15.00, mit dem Internationalen Stadionfest im Olympiastadion.', 'Heinrich Böll, der viel genannte, beachtenswerte Erzähler, hat einen Stoff aus unseren Tagen – ein abgesunkener Mann beschließt, sich von seiner Familie zu trennen, wird aber durch ein zufälliges Zusammentreffen mit seiner Frau umgestimmt – nicht nur in seinem Roman „Und sagten kein einziges Wort“, sondern auch in dem Hörspiel „Ich begegne meiner Frau“ behandelt, das nun in der Inszenierung Fritz Schröder-Jahns neues Interesse für den Roman erwecken könnte.', '22.30 ans Stuttgart: Der Dichter Alfred Döblin, der einst „Berlin Alexanderplatz“ schrieb, empfängt zu seinem 75.', 'Geburtstag wenig öffentliche Ehren.']	b	0.9996197	b	0.99968886	b	0.9996891	b	0.4119143	b	0.99950933	b	0.99857605	b	0.9985973	b	0.99648213	b	0.99965334	b	0.99923134	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}
9	270	17733	3.0/1989/08/18/achtung-achtung-neue-kue.xml	erzählers	Und wer weiß, ob nicht Walter Benjamin in seiner Theorie des Erzählers (die ja eine Theorie zum Ende des bürgerlich-privatistisch-individualistischen Roman-Kunstwerks ist) eigentlich an den Rundfunk gedacht hat.	['Es ist zum Lyrischwerden, und da wird er auch lyrisch manchmal.“ Strömen hin, streuen her – die Idee vom neuen Erzählen vor dem Mikrophon erfährt von kompetenter Seite Zuspruch.', 'Döblin zum Beispiel tritt 1929 mit der These an, daß im Rundfunk die Schriftsteller sich endlich von der toten Drucktype und der daraus folgenden „Anämie und Vertrocknung der Sprache“ befreien könnten.', 'Und wer weiß, ob nicht Walter Benjamin in seiner Theorie des Erzählers (die ja eine Theorie zum Ende des bürgerlich-privatistisch-individualistischen Roman-Kunstwerks ist) eigentlich an den Rundfunk gedacht hat.', 'Aber der war 1937 in der Hand der Nazis.', 'Ans Ende der Kunst im technischen Zeitalter oder an eine Funktion des Radios jenseits des alten Kunstbegriffs wollte gerade im Rundfunk niemand gerne denken.']	b	0.9994715	b	0.9995541	b	0.999684	b	0.6885614	b	0.9995777	b	0.9986682	b	0.99917895	b	0.9968176	b	0.99968433	b	0.99915063	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}	b	1000	{'b': 1000}
