filename	year	token	sentence	context
195315.xml	1953	Erzähler	So sagt W. Kayser in seinem wichtigen Werk 'Das sprachliche Kunstwerk * : „ Nicht nur der Epiker , sondern der Erzähler überhaupt steht seinem Gegenstand als einem vergangenen gegenüber “ ( S. 205 ) .	Und was die Dichtung und ihre Gattungen betrifft , so ist gerade das Vergangensein oder das Als-vergangen-gedacht-sein der Handlung zum Kriterium der erzählenden Dichtung , im Unterschied zur „ Gegenwart “ der dramatischen Handlung , erhoben worden . Goethes ( von Schiller übrigens nicht völlig akzeptierte ) Behauptung , daß das Epos resp. der Rhapsode eine Handlung als vergangen , das Drama resp. der Mime sie als gegenwärtig darstellt , ist nicht nur nicht in Frage gestellt , sondern meist noch direkter und unproblematischer ausgesprochen worden . Diese Vorstellung und als selbstverständlich hingenommene Auffassung ist sowohl bei Theoretikern wie bei Laien sozusagen an der Oberfläche des Bewußtseins herrschend ; und erst eine Frage wie etwa die , ob auch der Erzähler einer im Präteritum geschriebenen Utopie , die , wie z. B. Hesses 'Glasperlenspier , in eirter um .200 Jahre , oder Werfels 'Stern der Ungeborenen5 um hunderttausend Jahre hmausverlegten Zukunft spielt , seinem Gegenstand als einem vergangenen gegehübersteht , läßt sie wohl stutzig werden und in der , präteritiven Erzählungsform der epischen Dichtung ein Problem spüren . Die Dichtungsästhetik hat sich aber über die logischen und sprachlich-ästhetischen Schwierigkeiten , die dieses Problem birgt , allzuleicht hinweggesetzt und war darum auch nicht imstande , diese Schwierigkeiten dort , wo sie sich auffällig hervordrängen und auch nicht unbemerkt geblieben sind , nämlich bei der Erscheinung der erlebten Rede , zu lösen3 .
195315.xml	1953	Erzähler	Diese Vorstellung und als selbstverständlich hingenommene Auffassung ist sowohl bei Theoretikern wie bei Laien sozusagen an der Oberfläche des Bewußtseins herrschend ; und erst eine Frage wie etwa die , ob auch der Erzähler einer im Präteritum geschriebenen Utopie , die , wie z. B. Hesses 'Glasperlenspier , in eirter um .200 Jahre , oder Werfels 'Stern der Ungeborenen5 um hunderttausend Jahre hmausverlegten Zukunft spielt , seinem Gegenstand als einem vergangenen gegehübersteht , läßt sie wohl stutzig werden und in der , präteritiven Erzählungsform der epischen Dichtung ein Problem spüren .	Goethes ( von Schiller übrigens nicht völlig akzeptierte ) Behauptung , daß das Epos resp. der Rhapsode eine Handlung als vergangen , das Drama resp. der Mime sie als gegenwärtig darstellt , ist nicht nur nicht in Frage gestellt , sondern meist noch direkter und unproblematischer ausgesprochen worden . So sagt W. Kayser in seinem wichtigen Werk 'Das sprachliche Kunstwerk * : „ Nicht nur der Epiker , sondern der Erzähler überhaupt steht seinem Gegenstand als einem vergangenen gegenüber “ ( S. 205 ) . Die Dichtungsästhetik hat sich aber über die logischen und sprachlich-ästhetischen Schwierigkeiten , die dieses Problem birgt , allzuleicht hinweggesetzt und war darum auch nicht imstande , diese Schwierigkeiten dort , wo sie sich auffällig hervordrängen und auch nicht unbemerkt geblieben sind , nämlich bei der Erscheinung der erlebten Rede , zu lösen3 . Die Frage des epischen Präteritums aber erweist sich in all ihrer logischen Nüchternheit , in all ihrer Paradoxität ( und gerade um ihretwillen ) als ein ungemein präzises Instrument der Erkenntnis und Definition des Gebildes Dichtung überhaupt .
195315.xml	1953	Erzähler	Die epische Funktion des Imperfekts tritt hier nämlich besonders deutlich hervor , weil der Roman in der Form eines Ich-Beriehtes beginnt , einer im Präsens erfolgenden Beschreibung der Örtlichkeit , die der Schauplatz der Handlung sein wird , und die der Erzähler ausdrücklich als eine von ihm gekannte vorführt .	Solange die Szenerie nicht von Gestalten , , belebt 44 ist , kann sie noch als nichtfiktiver , ein wirkliches Milieu schildernder Bericht aufgefaßt werden , ja selbst auch noch dann , wenn zwar Gestalten schon in ihr erscheinen , aber i noch sozusagen stumm , bildhaft , staffagemäßig . Daß erst dann , wenn „ lebendige “ Gestalten sprechend und handelnd auftreten , das Imperfekt l des Berichtes seine ursprüngliche grammatische Funktion ablegt und seinen ; eigentümlichen „ epischen 4 4 Sinn erhält , wollen wir an einem hierfür besonders erhellenden Beispiel zeigen , dem Anfang von Stifters 'Hochwald * . Diese Örtlichkeit , die Waldesschwenkung mit der Burgruine , wird als noch existierend gedacht zu dem Zeitpunkt , an dem der Autor erzählt und von dem aus er sich zurückdenkt in die Zeit , wo er selbst in dieser Gegend herumgestreift war . „ Oft saß ich in vergangenen Tagen in dem alten Mauerwerke44 u. ä. Dann wird die Beschreibung des gegenwärtigen - und zwar in Bezug auf den Erzähler gegenwärtigen - Schauplatzes in einen historischen Bericht übergeführt : „ Und nun , lieber Wanderer , wenn du dich satt gesehen hast , so gehe jetzt mit mir zwei Jahrhunderte zurück44 -das Bild der Burg , wie sie damals gewesen , wird dem Leser vor Augen gestellt , und als zu dem Bilde gehörig , wie ein - noch stummes - Bild selbst , die beiden Mädchen .
195315.xml	1953	Erzähler	„ Oft saß ich in vergangenen Tagen in dem alten Mauerwerke44 u. ä. Dann wird die Beschreibung des gegenwärtigen - und zwar in Bezug auf den Erzähler gegenwärtigen - Schauplatzes in einen historischen Bericht übergeführt : „ Und nun , lieber Wanderer , wenn du dich satt gesehen hast , so gehe jetzt mit mir zwei Jahrhunderte zurück44 -das Bild der Burg , wie sie damals gewesen , wird dem Leser vor Augen gestellt , und als zu dem Bilde gehörig , wie ein - noch stummes - Bild selbst , die beiden Mädchen .	Die epische Funktion des Imperfekts tritt hier nämlich besonders deutlich hervor , weil der Roman in der Form eines Ich-Beriehtes beginnt , einer im Präsens erfolgenden Beschreibung der Örtlichkeit , die der Schauplatz der Handlung sein wird , und die der Erzähler ausdrücklich als eine von ihm gekannte vorführt . Diese Örtlichkeit , die Waldesschwenkung mit der Burgruine , wird als noch existierend gedacht zu dem Zeitpunkt , an dem der Autor erzählt und von dem aus er sich zurückdenkt in die Zeit , wo er selbst in dieser Gegend herumgestreift war . „ Die Türen fliegen auf - gefällt dir das holde Bild 1 “ Die Beschreibung der Mädchen und ihres Tuns erfolgt weiterhin im Präsens , und zwar obwohl wir uns ja schon in der historischen Vergangenheit befinden . Aber nicht darauf kommt es hier an , sondern auf die immer noch anwesende Ich-Origo des Erzählers , der in seiner sich zurückversetzenden Phantasie die Örtlichkeit mit den Mädchen immer noch wie ein Bild vor Augen hat und vor den Leser hinstellt ( weshalb dieses Präsens denn auch keineswegs ein historisches , sondern ein echtes Präsens ist ) .
195315.xml	1953	Erzählers	Aber nicht darauf kommt es hier an , sondern auf die immer noch anwesende Ich-Origo des Erzählers , der in seiner sich zurückversetzenden Phantasie die Örtlichkeit mit den Mädchen immer noch wie ein Bild vor Augen hat und vor den Leser hinstellt ( weshalb dieses Präsens denn auch keineswegs ein historisches , sondern ein echtes Präsens ist ) .	„ Oft saß ich in vergangenen Tagen in dem alten Mauerwerke44 u. ä. Dann wird die Beschreibung des gegenwärtigen - und zwar in Bezug auf den Erzähler gegenwärtigen - Schauplatzes in einen historischen Bericht übergeführt : „ Und nun , lieber Wanderer , wenn du dich satt gesehen hast , so gehe jetzt mit mir zwei Jahrhunderte zurück44 -das Bild der Burg , wie sie damals gewesen , wird dem Leser vor Augen gestellt , und als zu dem Bilde gehörig , wie ein - noch stummes - Bild selbst , die beiden Mädchen . „ Die Türen fliegen auf - gefällt dir das holde Bild 1 “ Die Beschreibung der Mädchen und ihres Tuns erfolgt weiterhin im Präsens , und zwar obwohl wir uns ja schon in der historischen Vergangenheit befinden . Und erst , höchst bezeichnenderweise , als . die Bilder der Mädchen zu lebendigen Gestalten werden , setzt - dem Dichter natürlich völlig unbewußt - das Imperfekt ein . „ Die am Fenster stickt emsig fort und sieht nur manchmal auf die Schwester .
195315.xml	1953	Erzählers	Dieses Imperfekt bezeichnet also besonders deutlich den Punkt , an dem das Ich des Erzählers , der sich ausdrücklich selbst als anwesend eingeführt hatte , aus der Erzählung her -1 austritt und an seine Stelle die fiktiven Ich-Origines der Gestalten treten . }	Diese hat mit einmal ihr Suchen eingestellt pnd ihre Harfe ergriffen , aus der schon seit länger einzelne Töne wie träumend fallen , die nicht Zusammenhängen , oder Inselspitzen einer untergesunkenen Melodie sind . Plötzlich sagte die jüngere ... “ . Denn bis zu der Stelle , wo die Gestalten als handelnde , erlebende Wesen auf-treten , hatte Schauplatz und Zeit der Erzählung noch in der Gegenwart bzw. der Vergangenheit des Erzähler-Ichs gestanden . Er selbst und mit ihm der Leser hatten noch eine real-historische Einstellung zu ihm .
195315.xml	1953	Erzählers	Das besagt : die Zeit , in der sich die \ Erzählung von nun an zuträgt , ist nicht mehr die Zelt des Erzählers , sondern ! die Zeit der Gestalten , ] d. h. sie ist fiktiv wie diese selbst , und das Imperfekt , ; in dem sie erzählt wird , bedeutet nicbt , daß sie als vergangen erlebt werden * soll .	Er selbst und mit ihm der Leser hatten noch eine real-historische Einstellung zu ihm . In dem Augenblick aber , in dem nun die Gestalten nicht mehr als Bild , sondern sozusagen in der Subjektivität ihrer lebendigen Existenz , i hres Jetz t und Hier erscheinen , wird die hier durch das Präsens ausgedrückte historische Einstellung aufgegeben , „ vergessen “ . „ Heute war der Tag gekommen . . . “ heißt es denn auch weiter unten , und dieses für unser Problem so verräterische deiktische Zeitadverb in der imperfektischen Erzählung ist schon als solches ein Indizium für die j fiktive „ Gegenwärtigkeit “ der dargestellten Handlung und Gestaltenwelt Wir wählten das Stifterbeispiel darum , weil hier die epische Funktion des Präteritums im Gegensatz zum voraufgehenden realen Präsensbericht besonders deutlich in die Erscheinung tritt . Diese - dem modernen Geschmack kaum mehr entsprechende - Wirklichkeitsbetontheit der Milieuschilderung einer Romanhandlung ist jedoch ein Ausnahmefall .
195315.xml	1953	Erzählers	Auf dem Schiffe befand sich ein lustiges Häufchen Studenten “ - dieser Beginn von Eichendorffs 'Ahnung und Gegenwart 5 kann als ein in der echten , , existentiellen “ Vergangenheit des Erzählers stehender Bericht aufgefaßt werden , ohne daß dieser sich ausdrücklich als Icherzähler einzuführen braucht .	Im allgemeinen erfolgt die Schilderung des Schauplatzes in demselben Modus und Tempus wie die der Gestalten , und das Präteritum tritt in seiner epischen Funktion , als Aussage von Nicht-Vergangenem , darum nicht mit gleicher Klarheit hervor , weil die Grenze zwischen einer durch die - wie immer unausgesprochene - Anwesenheit der Erzähler-Origo konstituierten reinen Milieuschilderung und der Fiktion nicht ebenso deutlich erkannt oder erfühlt werden kann . Dennoch ist diese Grenze auch in diesem Falle vorhanden und genau feststellbar . , , Die Sonne war eben prächtig aufgegangen , da fuhr ein Schiff zwischen den grünen Bergen und Wäldern auf der Donau herunter . Auch noch der folgende Satz , der bereits den Namen des Helden nennt - , , Sie begleiteten einige Tagereisen weit den jungen Grafen Friedrich , welcher soeben die Universität verlassen ha^te , um sich auf Reisen zu begeben “ - fällt noch nicht aus dem , , Feld “ der Erzähler-Origo heraus , weil das an sich deiktische Zeitadverb , soeben 4 noch auf den sich an die Situation gewissermaßen erinnernden Erzähler bezogen werden kann , d. h. nicht unbedingt schon vom Grafen Friedrich her gemeint zu sein braucht , der als solcher an dieser Stelle noch nicht als eine fiktive Ich-Origo , sondern als , , Objekt “ ( unter Objekten ) dargestellt ist . Erst weiter unten verschiebt sich fast unmerklich die semantisch-phänomenologische Situation der Darstellung , und zwar als Graf Friedrich das in einem anderen Boot vorbeifahrende schöne Mädchen erblickt . , , Er fuhr innerlich zusammen .
195315.xml	1953	Erzähler	Auch noch der folgende Satz , der bereits den Namen des Helden nennt - , , Sie begleiteten einige Tagereisen weit den jungen Grafen Friedrich , welcher soeben die Universität verlassen ha^te , um sich auf Reisen zu begeben “ - fällt noch nicht aus dem , , Feld “ der Erzähler-Origo heraus , weil das an sich deiktische Zeitadverb , soeben 4 noch auf den sich an die Situation gewissermaßen erinnernden Erzähler bezogen werden kann , d. h. nicht unbedingt schon vom Grafen Friedrich her gemeint zu sein braucht , der als solcher an dieser Stelle noch nicht als eine fiktive Ich-Origo , sondern als , , Objekt “ ( unter Objekten ) dargestellt ist .	Dennoch ist diese Grenze auch in diesem Falle vorhanden und genau feststellbar . , , Die Sonne war eben prächtig aufgegangen , da fuhr ein Schiff zwischen den grünen Bergen und Wäldern auf der Donau herunter . Auf dem Schiffe befand sich ein lustiges Häufchen Studenten “ - dieser Beginn von Eichendorffs 'Ahnung und Gegenwart 5 kann als ein in der echten , , existentiellen “ Vergangenheit des Erzählers stehender Bericht aufgefaßt werden , ohne daß dieser sich ausdrücklich als Icherzähler einzuführen braucht . Erst weiter unten verschiebt sich fast unmerklich die semantisch-phänomenologische Situation der Darstellung , und zwar als Graf Friedrich das in einem anderen Boot vorbeifahrende schöne Mädchen erblickt . , , Er fuhr innerlich zusammen . Denn es war , als deckten ihre Blicke plötzlich eine neue Welt von blühender Wunderpracht , uralten Erinnerungen und nie gekannten Wünschen in seinem Herzen auj Ll ! / Hier befinden wir uns nicht mehr in einer möglichen Vergangenheit des Erzählers , sondern in de r fik tiven ..
195315.xml	1953	Erzählers	Denn es war , als deckten ihre Blicke plötzlich eine neue Welt von blühender Wunderpracht , uralten Erinnerungen und nie gekannten Wünschen in seinem Herzen auj Ll ! / Hier befinden wir uns nicht mehr in einer möglichen Vergangenheit des Erzählers , sondern in de r fik tiven ..	Auch noch der folgende Satz , der bereits den Namen des Helden nennt - , , Sie begleiteten einige Tagereisen weit den jungen Grafen Friedrich , welcher soeben die Universität verlassen ha^te , um sich auf Reisen zu begeben “ - fällt noch nicht aus dem , , Feld “ der Erzähler-Origo heraus , weil das an sich deiktische Zeitadverb , soeben 4 noch auf den sich an die Situation gewissermaßen erinnernden Erzähler bezogen werden kann , d. h. nicht unbedingt schon vom Grafen Friedrich her gemeint zu sein braucht , der als solcher an dieser Stelle noch nicht als eine fiktive Ich-Origo , sondern als , , Objekt “ ( unter Objekten ) dargestellt ist . Erst weiter unten verschiebt sich fast unmerklich die semantisch-phänomenologische Situation der Darstellung , und zwar als Graf Friedrich das in einem anderen Boot vorbeifahrende schöne Mädchen erblickt . , , Er fuhr innerlich zusammen . Gegenwa rt 44 der R omangestal t. Das grammatische Imperfekt hat seine existentielle Vergangenheitsfunktion abgestreift . Aber vielfältig sind die Formen des Erzählens , unendliche Möglichkeiten bietet die , , Rolle des Erzählers44 , deren Nüancen oft erst mit Hilfe sprachlich-semantischer Untersuchungen festgestellt werden können .
